YMD,REGION_ID,BEGIN_WEATHER,END_WEATHER,WIND_VELOCITY,RAIN_PROBABILITY,HIGH_TEMP,LOW_TEMP,MAX_VALUE,MIN_VALUE,AVG_VALUE,FAULT_COUNT_TOTAL
20150317,2,4,4,2,80,12,19,2211959960.000000,1289675050.000000,1835591906.701389,330
20150318,2,4,4,4,80,15,21,2220028080.000000,1239762940.000000,1835734562.708333,346
20150319,2,4,4,4,60,10,15,2279361080.000000,1276568970.000000,1841981425.000000,300
20150320,2,4,4,4,90,10,14,2371823970.000000,1264614010.000000,1928391433.680556,226
20150321,2,5,5,4,30,10,20,2117590090.000000,1321229000.000000,1766081342.118056,259
20150322,2,5,5,4,20,12,20,2095541020.000000,1179073000.000000,1666929388.819444,253
20150323,2,5,5,4,30,10,15,2293533940.000000,1189203000.000000,1850204703.194444,229
20150324,2,6,5,4,20,9,15,2273186040.000000,1249711060.000000,1854545831.875000,198
20150325,2,5,5,4,20,8,16,2280510990.000000,1307021970.000000,1836391496.944444,236
20150326,2,5,4,2,70,9,17,2293418950.000000,1281792970.000000,1864324107.708333,195
20150327,2,4,4,4,80,10,13,2327364010.000000,1285352050.000000,1902935698.750000,243
20150328,2,5,6,4,30,9,20,2142960940.000000,1308709960.000000,1750122072.569444,221
20150329,2,5,4,4,60,11,24,2082489990.000000,1273489010.000000,1673185218.194444,205
20150330,2,4,4,2,90,14,17,2217654050.000000,1203717040.000000,1814652383.541667,195
20150331,2,5,4,4,60,15,27,2150542970.000000,1236034060.000000,1787148496.618705,218
20150401,2,5,4,4,60,18,26,2201756100.000000,1228264040.000000,1797089239.236111,219
20150402,2,5,4,2,70,17,31,2281902100.000000,1273488040.000000,1846028254.965278,236
20150403,2,4,4,4,60,14,16,2179581050.000000,1273906010.000000,1806304980.731707,229
20150404,2,1,1,4,90,13,19,2061982910.000000,1276448970.000000,1700334546.284722,175
20150405,2,1,1,4,90,14,16,2061840090.000000,1150103030.000000,1602714608.541667,182
20150406,2,4,4,2,90,10,13,2314773930.000000,1175873050.000000,1781723201.458333,204
20150407,2,4,4,2,80,7,10,2589656980.000000,1280078980.000000,2076717470.069686,255
20150408,2,5,5,4,20,5,13,2543971920.000000,1429699950.000000,2070249772.604167,236
